SK-阅读OG合集答案,,,,
,,,,
,1,2,3,4
passage1,D,B,,
passage2,B,E,,
passage3,A,E,E,B
passage4,C,D,,
passage5,D,B,,
passage6,C,D,AB,第一段最后一句
passage7,D,A,,
passage8,D,A,C,
passage9,D,E,C,A
passage10,C,B,,
passage11,B,D,A,
passage12,E,B,A,B
passage13,B,B,,
passage14,BC,第一句,E,
passage15,D,D,B,E
passage16,D,,,
passage17,C,,,
passage18,B,,,
passage19,A,,,
passage20,D,,,
passage21,B,,,
passage22,C,,,
passage23,D,,,
passage24,D,E,,
passage25,E,E,B,
passage26,C,E,D,C
passage27,A,E,,
passage28,B,D,E,
passage29,D,A,,
passage30,D,E,E,A
passage31,第二句,E,,
passage32,AB,BC,,
passage33,D,A,,
passage34,E,E,,
passage35,ABC,D,,
passage36,A,B,,
passage37,E,AB,,
passage38,B,C,C,D
passage39,E,A,,
passage40,E,B,,
passage41,B,D,D,
passage42,D,B,C,
passage43,A,B,,
passage44,B,E,,
passage45,B,A,E,
passage46,D,E,C,
passage47,E,D,,
passage48,A,F,,
passage49,A,D,E,
passage50,C,A,B,B
passage51,AB,B,,
passage52,C,A,,
passage53,D,E,E,
passage54,B,C,D,B
passage55,D,ABC,,
passage56,D,A,,
passage57,C,B,E,
passage58,B,C,A,B
passage59,D,A,,
passage60,E,B,,
passage61,D,E,E,
passage62,B,D,E,B
passage63,E,,,
passage64,E,,,
passage65,D,,,
passage66,B,,,
passage67,E,,,
passage68,D,,,
passage69,E,,,
passage70,B,,,
passage71,AC,C,,
passage72,B,AB,E,
passage73,C,D,,
passage74,A,E,B,A
passage75,B,E,,
passage76,D,A,,
passage77,C,C,,
passage78,D,B,E,A
passage79,C,A,,
passage80,BC,C,,
passage81,C,D,,
passage82,C,D,C,E
passage83,D,B,C,
passage84,ABC,C,,
passage85,B,A,AC,
passage86,E,A,B,A
passage87,B,,,
passage88,A,,,
passage89,C,,,
passage90,C,,,
passage91,第二段第一句,E,,
passage92,ABC,C,,
passage93,C,B,E,
passage94,D,C,AC,
passage95,AC,D,,
passage96,A,AC,,
passage97,E,D,C,C
passage98,AB ,A ,,
passage99,A,D,,
passage100,A,B,B,
passage101,D,A,C,
passage102,ABC,C,,
passage103,AB,B,,
passage104,C,E,E,B
passage105,C,D,,
passage106,BC,B,,
passage107,D,A,B,
passage108,A,B,B,
passage109,E,C,,
passage110,B,D,,
passage111,A,A,E,C
passage112,AB,A,,
passage113,C,D,,
passage114,A,A,E,
passage115,C,B,A ,
passage116,B,C,,
passage117,B,C,,
passage118,B,E,C,D
passage119,B,D,,
passage120,D,D,,
passage121,C,B,E,
passage122,C,ABC,A,
passage123,B,A,,
passage124,A,B,,
passage125,B,C,E,A
passage126,C,D,,
passage127,B,D,,
passage128,A,E,D,
passage129,E,E,B,
passage130,D,E,,
passage131,E,C,,
passage132,B,C,B,E
passage133,B,C,,
passage134,E,A,,
passage135,B,C,A,
passage136,B,D,A,
passage137,E,AC,,
passage138,B,ABC,,
passage139,D,B,D,E
passage140,ABC,E,,
passage141,C,D,,
passage142,倒数第二句,D,E,
passage143,D,C,D,
passage144,A,D,,
passage145,B,C,,
passage146,C,B,D,A
passage147,A,C,,
passage148,C,,,
passage149,A,D,C,
passage150,C,C,第二段第一句,
passage151,AB,A,,
passage152,B,D,,
passage153,B,C,D,E
passage154,B,A,,
passage155,C,AC,,
passage156,B,B,,
passage157,A,E,C,
passage158,C,E,,
passage159,E,E,,
passage160,A,It seems..,B,C
passage161,D,C,,
passage162,A,AB ,,
passage163,B,E,,
passage164,D,C,,
passage165,C,C,B,
passage166,C,,,
passage167,D,,,
passage168,A,,,
passage169,D,,,
passage170,E,,,
passage171,B,,,
passage172,A,,,
passage173,B,,,
passage174,D,,,
passage175,A,,,
passage176,C,,,
passage177,A,,,
passage178,A,,,
passage179,E,,,
passage180,D,,,
passage181,E,,,
passage182,C,,,
passage183,E,,,
passage184,C,,,
passage185,E,,,
passage186,D,,,
passage187,C,,,
passage188,B,,,
passage189,C,,,
passage190,D,,,
passage191,D,,,
passage192,A,,,
passage193,D,,,
passage194,A,,,
passage195,A,,,
passage196,D,,,
passage197,A,,,
passage198,C,,,
passage199,C,,,
passage200,B,,,
passage201,E,,,
